"Dach OW (320 kWp, 60%PV/Roof area)","Fassade SO/SW (209 kWp, 22% PV/ ref Area)",Dach+Fass,Var4,Var5
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
6.985,2.605,9.59,9.516782803,1.420959147
3.146,1.169,4.315,104.5498019,36.74454616
17.866,6.696,24.562,184.3275493,74.42911145
43.372,25.349,68.721,250.6171153,110.9878399
38.979,20.438,59.417,265.8687435,0.644896844
82.49,73.996,156.486,228.6505442,138.9515872
27.346,19.237,46.583,154.2760851,54.56118778
8.162,4.837,12.999,98.89875666,16.1697864
0,0,0,0.535592294,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
8.056,4.608,12.664,12.20931821,2.273534636
25.378,15.206,40.584,138.4597167,88.53668534
44.443,31.092,75.535,253.7286515,180.8334472
51.982,31.915,83.897,350.0806121,214.9583276
52.582,37.058,89.64,389.3755978,219.3742315
28.146,11.313,39.459,379.3086487,115.2580043
11.987,4.483,16.47,354.241472,48.93200346
1.025,0.378,1.403,248.001093,4.000546523
0,0,0,2.60509177,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
8.35,3.638,11.988,15.64876805,20.50917703
22.759,12.904,35.663,160.7323405,65.32404245
45.93,44.477,90.407,294.1093956,65.20745093
47.051,29.682,76.733,386.522749,12.23117912
50.896,31.299,82.195,445.2302227,126.9135128
48.526,32.384,80.91,432.8496607,107.435442
39.824,38.617,78.441,365.1027007,77.32568201
28.693,32.568,61.261,249.7244614,23.34380835
0,0,0,2.586874345,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
2.98,1.107,4.087,14.80712301,31.14450972
9.633,3.598,13.231,154.3088764,80.17124379
16.095,6.027,22.122,275.6405702,185.6064125
18.102,6.783,24.885,341.492918,185.4315253
18.678,7,25.678,383.5533087,198.7776108
14.671,5.491,20.162,360.8689712,187.0091543
9.357,3.495,12.852,308.7707793,151.6527759
2.98,1.107,4.087,192.9006695,103.8174614
0,0,0,0.546522749,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
6.414,2.39,8.804,2.637883135,0.663114269
20.334,8.358,28.692,49.69349182,26.9253541
17.576,6.585,24.161,74.95377328,43.9950813
26.58,9.983,36.563,103.5733479,4.033337888
29.792,11.198,40.99,120.1111263,51.5698866
26.818,10.073,36.891,105.1072551,40.67586647
18.082,6.776,24.858,101.1358564,25.80316072
6.1,2.273,8.373,37.48053013,0.663114269
0,0,0,1.202350048,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
8.152,4.134,12.286,15.82365533,5.895158719
3.533,1.312,4.845,158.4114405,17.68547616
28.886,11.604,40.49,284.428656,19.72218427
57.289,44.73,102.019,369.1323951,26.9982238
52.677,34.323,87,438.4132623,2.291752061
63.501,59.098,122.599,425.1801248,263.1033383
46.82,49.053,95.873,367.2924352,190.9295441
22.228,25.153,47.381,253.0946851,85.2939837
0,0,0,2.637883135,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
12.317,8.514,20.831,4.142642437,5.869654324
29.686,31.017,60.703,29.65432436,14.58851391
57.793,68.554,126.347,61.8153664,26.89620622
60.5,51.543,112.043,82.52857859,30.02231635
22.692,8.515,31.207,87.19952635,27.90545156
18.664,6.996,25.66,76.61520244,296.5906089
36.316,29.281,65.597,42.1004691,224.0633966
12.336,8.544,20.88,25.92703921,73.0555176
0,0,0,1.205993533,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
9.578,12.062,21.64,11.52069955,2.313612971
42.308,44.554,86.862,109.9676641,68.93837956
42.384,28.371,70.755,192.9917566,118.4424102
22.59,8.476,31.066,256.9021269,243.0678144
6.691,2.494,9.185,282.9457576,305.914287
25.886,9.721,35.607,271.9096416,246.2412898
37.278,29.91,67.188,170.074236,249.9576445
23.737,23.086,46.823,86.71494284,87.17037847
0,0,0,1.216923988,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
