Wind AT 2013,Wind AT 2015,Wind AT 2016,Wind 2030 TU EEG Stromzukunft,WEB 2015 Umgebung Wien,Hochrechnung berschuss 2050,Wind AT 2017,Wind AT 2018,Wind AT 2019,Wind AT 2020
853.3498,65.328,228.9675,2.01616057,0,0,92.799,914.63,245,1891
857.153,69.7895,152.2203,2.000836877,0,0,86.097,832.387,188,1969
860.945,64.1743,109.5988,1.965811283,0,0,72.062,926.463,139,1985
888.0218,64.8885,55.6225,2.646621204,0,0,73.376,691.546,115,1852
859.1413,63.9678,39.0383,3.246434454,0,0,68.995,453.314,163,1709
859.9345,63.553,33.8323,3.395293214,0,0,77.242,321.1,285,1484
854.2238,83.7455,32.01,3.763061913,0,0,72.88,323.383,450,1146
754.905,131.1263,33.665,3.857193186,0.05457,0,64.615,331.551,592,884
663.816,109.2958,32.0875,3.649228748,0.600276,0,54.585,304.104,637,714
587.4763,146.1103,42.4585,4.069535834,1.646505,0,60.355,275.635,679,581
451.4578,145.7228,49.643,3.780574706,2.751135,0,59.544,336.523,907,579
327.018,157.692,46.1698,3.388725913,1.870782,0,49.935,523.332,957,699
236.097,186.5313,49.6218,4.047644841,1.378296,0,42.341,781.449,1102,841
163.4748,243.859,49.6285,3.703956226,1.518078,0,48.209,994.382,1635,693
77.3598,298.7735,57.4198,3.351511219,1.688781,0,42.658,885.389,1812,481
71.1548,326.6118,60.4155,2.644432104,2.142696,0,53.498,739.253,2066,309
82.3188,345.9023,52.433,2.567813624,2.926947,0,59.682,495.331,2212,191
77.5368,309.6723,46.0088,3.8134112,3.319593,0,55.743,233.161,2217,130
89.8048,204.7083,43.8683,5.181598343,2.86149,0,42.334,197.379,2283,104
79.9168,221.6818,58.1318,5.450857569,2.313549,0,36.114,221.314,2375,114
90.0313,250.6325,110.2205,4.929851909,2.206872,0,36.077,215.041,2682,109
97.176,138.0443,102.8645,5.53404335,0.432996,0,34.02,186.626,2506,66
92.148,91.6223,49.5398,5.960917737,0.317901,0,43.37,149.881,2648,66
81.6828,103.01,19.7728,5.109358063,0.371775,0,42.963,135.367,2709,62
72.5418,105.8495,14.3683,5.477126763,0.283224,0,48.276,233.52,2640,25
51.9968,78.8985,29.4075,4.831342436,0.114762,0,56.182,336.947,2587,5
36.855,126.3353,50.3983,4.214016394,0.03906,0,51.782,503.951,2494,4
